Team_Name,City,From,To,W,L,Win_Percentage,Years_In_Playoffs,Championships,Championships_Conference,Championships_Division
Cardinals,Arizona,1920,2026,596,826,0.419,11,0,1,8
Falcons,Atlanta,1966,2026,406,521,0.438,14,0,2,7
Ravens,Baltimore,1996,2026,276,208,0.57,16,2,2,8
Bills,Buffalo,1960,2026,498,510,0.494,25,0,4,16
Panthers,Carolina,1995,2026,227,273,0.454,9,0,2,7
Bears,Chicago,1920,2026,809,652,0.554,28,1,2,25
Bengals,Cincinnati,1968,2026,409,490,0.455,16,0,3,12
Browns,Cleveland,1946,2026,567,560,0.503,30,0,0,23
Cowboys,Dallas,1960,2026,576,432,0.571,36,5,8,26
Broncos,Denver,1960,2026,532,475,0.528,24,3,8,16
Lions,Detroit,1930,2026,615,717,0.462,19,0,0,10
Packers,Green Bay,1921,2026,819,611,0.572,38,4,5,31
Texans,Houston,2002,2026,174,214,0.449,9,0,0,8
Colts,Indianapolis,1953,2026,572,519,0.524,29,2,4,21
Jaguars,Jacksonville,1995,2026,215,286,0.429,9,0,0,5
Chiefs,Kansas City,1960,2026,553,452,0.55,27,4,7,18
Raiders,Las Vegas,1960,2026,512,494,0.509,23,3,5,16
Chargers,Los Angeles,1960,2026,505,501,0.502,22,0,1,15
Rams,Los Angeles,1937,2026,636,611,0.51,34,2,5,22
Dolphins,Miami,1966,2026,511,418,0.55,25,2,5,14
Vikings,Minnesota,1961,2026,546,446,0.55,32,0,4,21
Patriots,New England,1960,2026,559,449,0.555,29,6,12,23
Saints,New Orleans,1967,2026,423,491,0.463,14,1,1,9
Giants,New York,1925,2026,728,676,0.518,33,4,5,25
Jets,New York,1960,2026,436,573,0.432,14,1,1,4
Eagles,Philadelphia,1933,2026,649,645,0.502,32,2,5,18
Steelers,Pittsburgh,1933,2026,691,592,0.538,36,6,8,26
49ers,San Francisco,1946,2026,642,531,0.547,31,5,8,23
Seahawks,Seattle,1976,2026,416,376,0.525,21,2,4,12
Buccaneers,Tampa Bay,1976,2026,326,466,0.412,15,2,2,10
Titans,Tennessee,1960,2026,482,529,0.477,25,0,1,11
Commanders,Washington,1932,2026,646,660,0.495,26,3,5,16
Diamondbacks,Arizona,1998,2026,"2,176","2,275",0.489,7,1,2,5
Athletics,Oakland,1901,2026,"9,413","9,953",0.486,29,9,15,17
Braves,Atlanta,1876,2026,"11,200","11,042",0.504,30,4,18,23
Orioles,Baltimore,1901,2026,"9,204","10,178",0.475,16,3,7,10
Sox,Boston,1901,2026,"10,050","9,346",0.518,26,9,14,10
Cubs,Chicago,1876,2026,"11,426","10,846",0.513,22,3,17,8
White Sox,Chicago,1901,2026,"9,660","9,724",0.498,11,3,6,6
Reds,Cincinnati,1882,2026,"11,026","10,852",0.504,17,5,10,10
Guardians,Cleveland,1901,2026,"9,950","9,450",0.513,18,2,6,13
Rockies,Colorado,1993,2026,"2,370","2,828",0.456,5,0,1,0
Tigers,Detroit,1901,2026,"9,770","9,651",0.503,18,4,11,7
Astros,Houston,1962,2026,"5,102","5,051",0.503,18,2,5,14
Royals,Kansas City,1969,2026,"4,297","4,712",0.477,10,2,4,8
Angels,Los Angeles,1961,2026,"5,101","5,214",0.495,10,1,1,9
Dodgers,Los Angeles,1884,2026,"11,537","10,141",0.532,39,9,27,23
Marlins,Miami,1993,2026,"2,391","2,800",0.461,4,2,2,0
Brewers,Milwaukee,1969,2026,"4,413","4,602",0.49,11,0,1,8
Twins,Minnesota,1901,2026,"9,339","10,054",0.482,18,3,6,13
Mets,New York,1962,2026,"4,906","5,237",0.484,11,2,5,6
Yankees,New York,1903,2026,"10,881","8,223",0.57,60,27,41,21
Phillies,Philadelphia,1883,2026,"10,311","11,400",0.475,18,2,8,14
Pirates,Pittsburgh,1882,2026,"10,920","10,916",0.5,17,5,9,9
Padres,San Diego,1969,2026,"4,227","4,795",0.469,9,0,2,5
Giants,San Francisco,1883,2026,"11,628","10,110",0.535,27,8,23,9
Mariners,Seattle,1977,2026,"3,697","4,031",0.478,6,0,0,4
Cardinals,St. Louis,1882,2026,"11,371","10,494",0.52,32,11,23,15
Rays,Tampa Bay,1998,2026,"2,176","2,271",0.489,9,0,2,4
Rangers,Texas,1961,2026,"4,908","5,390",0.477,9,1,3,7
Blue Jays,Toronto,1977,2026,"3,861","3,865",0.5,11,2,3,7
Nationals,Washington,1969,2026,"4,338","4,674",0.481,6,1,1,5
Hawks,Atlanta,1949,2025,3013,3088,0.494,50,1,0,12
Celtics,Boston,1946,2025,3751,2527,0.597,63,18,11,35
Nets,Brooklyn,1967,2025,2074,2702,0.434,31,2,2,5
Hornets,Charlotte,1988,2025,1237,1640,0.43,11,0,0,0
Bulls,Chicago,1966,2025,2453,2391,0.506,36,6,6,9
Cavaliers,Cleveland,1970,2025,2148,2369,0.476,26,1,5,8
Mavericks,Dallas,1980,2025,1862,1845,0.502,25,1,3,5
Nuggets,Denver,1967,2025,2471,2306,0.517,41,1,1,13
Pistons,Detroit,1948,2025,2931,3231,0.476,44,3,5,11
Warriors,Golden State,1946,2025,3054,3213,0.487,39,7,7,12
Rockets,Houston,1967,2025,2473,2297,0.518,36,2,4,9
Pacers,Indiana,1976,2025,1999,2033,0.496,29,0,2,6
Clippers,Los Angeles,1970,2025,1935,2589,0.428,20,0,0,3
Lakers,Los Angeles,1948,2025,3653,2515,0.592,66,17,19,34
Grizzlies,Memphis,1995,2025,1071,1404,0.433,14,0,0,2
Heat,Miami,1988,2025,1601,1448,0.525,27,3,7,16
Bucks,Milwaukee,1968,2025,2469,2220,0.527,37,2,3,19
Timberwolves,Minnesota,1989,2025,1245,1713,0.421,14,0,0,1
Pelicans,New Orleans,2002,2025,878,1054,0.454,9,0,0,1
Knicks,New York,1946,2025,3078,3191,0.491,47,2,4,8
Thunder,Oklahoma City,1967,2025,2602,2168,0.545,35,2,5,13
Magic,Orlando,1989,2025,1401,1566,0.472,19,0,2,8
76ers,Philadelphia,1949,2025,3170,2935,0.519,55,3,5,12
Suns,Phoenix,1968,2025,2510,2179,0.535,34,0,3,8
Trail Blazers,Portland,1970,2025,2370,2156,0.524,38,1,3,6
Kings,Sacramento,1948,2025,2810,3359,0.456,30,1,0,6
Spurs,San Antonio,1967,2025,2779,1996,0.582,48,5,6,22
Raptors,Toronto,1995,2025,1172,1302,0.474,14,1,1,7
Jazz,Utah,1974,2025,2216,1980,0.528,31,0,2,11
Wizards,Washington,1961,2025,2307,2944,0.439,30,1,4,8
