Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
1,Akron Grays,1933,1933,10,3,7,0.3,-4,0,0,0,0,20,0,26,307,77,2,0.251,49,4.05
2,Altoona Mountain Citys,1884,1884,25,6,19,0.24,-13,0,0,0,0,18,0,90,899,223,2,0.248,216,4.67
,       Also played as Altoona Mountain City,,,,,,,,,,,,,,,,,,,,
3,Atlanta Black Crackers,1932,1939,102,44,58,0.431,-14,0,0,0,0,66,0,357,"2,472",644,16,0.261,490,4.9
,       Also played as Indianapolis ABCs/Atlanta Black Crackers,,,,,,,,,,,,,,,,,,,,
4,Bacharach Giants,1923,1929,460,231,220,0.512,11,3,2,0,3,97,2,"2,540","15,526","4,297",178,0.277,"2,492",4.42
,       Also played as Atlantic City Bacharach Giants,,,,,,,,,,,,,,,,,,,,
5,Baltimore Black Sox,1923,1934,530,265,253,0.512,12,1,1,0,1,137,5,"2,995","18,186","5,112",256,0.281,"3,009",4.4
,       Also played as Baltimore Sox,,,,,,,,,,,,,,,,,,,,
6,Baltimore Elite Giants,1930,1948,"1,109",543,540,0.501,3,1,1,0,4,190,4,"4,466","28,143","7,745",288,0.275,"4,099",4.11
,"       Also played as Washington Elite Giants, Columbus Elite Giants and Nashville Elite Giants",,,,,,,,,,,,,,,,,,,,
7,Baltimore Monumentals,1884,1884,106,58,47,0.552,11,0,0,0,0,36,0,662,"3,883",952,17,0.245,627,3.01
8,Baltimore Orioles,1901,1902,276,118,153,0.435,-35,0,0,0,0,53,5,"1,475","9,349","2,666",57,0.285,"1,598",4.04
9,Baltimore Orioles,1882,1899,"2,238","1,133","1,049",0.519,84,0,3,0,0,254,8,"13,494","78,013","21,220",354,0.272,"12,784",3.8
10,Baltimore Terrapins,1914,1915,314,131,177,0.425,-46,0,0,0,0,48,1,"1,195","10,180","2,609",68,0.256,"1,388",3.54
11,Birmingham Black Barons,1923,1948,"1,310",652,649,0.501,3,3,3,0,4,280,4,"3,745","26,838","7,303",243,0.272,"4,138",4.4
