Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2025-26,77,6102,3013,3088,0.494,50,12,0,1
Atlanta Hawks,NBA,1968-69,2025-26,58,4683,2315,2368,0.494,37,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,282,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2025-26,80,6278,3751,2527,0.597,63,35,11,18
Brooklyn Nets,NBA/ABA,1967-68,2025-26,59,4776,2074,2702,0.434,31,5,2,2
Brooklyn Nets,NBA,2012-13,2025-26,14,1128,492,636,0.436,8,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2025-26,36,2877,1237,1640,0.43,11,0,0,0
Charlotte Hornets,NBA,2014-15,2025-26,12,957,402,555,0.42,2,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2025-26,60,4844,2453,2391,0.506,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2025-26,56,4517,2148,2369,0.476,26,8,5,1
Dallas Mavericks,NBA,1980-81,2025-26,46,3707,1862,1845,0.502,25,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2025-26,59,4777,2471,2306,0.517,41,13,1,1
Denver Nuggets,NBA,1976-77,2025-26,50,4033,2058,1975,0.51,32,10,1,1
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2025-26,78,6162,2931,3231,0.476,44,11,5,3
Detroit Pistons,NBA,1957-58,2025-26,69,5543,2618,2925,0.472,36,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2025-26,80,6268,3054,3213,0.487,39,12,7,7
Golden State Warriors,NBA,1971-72,2025-26,55,4435,2166,2269,0.488,22,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1104,558,545,0.506,12,3,0,2
Houston Rockets,NBA,1967-68,2025-26,59,4770,2473,2297,0.518,36,9,4,2
Houston Rockets,NBA,1971-72,2025-26,55,4442,2354,2088,0.53,35,9,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,0.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2025-26,59,4776,2426,2350,0.508,38,9,2,3
Indiana Pacers,NBA,1976-77,2025-26,50,4032,1999,2033,0.496,29,6,2,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,0.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2025-26,56,4524,1935,2589,0.428,20,3,0,0
Los Angeles Clippers,NBA,1984-85,2025-26,42,3376,1490,1886,0.441,17,3,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,0.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,0.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2025-26,78,6168,3653,2515,0.592,66,34,19,17
Los Angeles Lakers,NBA,1960-61,2025-26,66,5329,3196,2133,0.6,55,30,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,0.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2025-26,31,2475,1071,1404,0.433,14,2,0,0
Memphis Grizzlies,NBA,2001-02,2025-26,25,2015,970,1045,0.481,14,2,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,0.22,0,0,0,0
Miami Heat,NBA,1988-89,2025-26,38,3049,1601,1448,0.525,27,16,7,3
Milwaukee Bucks,NBA,1968-69,2025-26,58,4689,2469,2220,0.527,37,19,3,2
Minnesota Timberwolves,NBA,1989-90,2025-26,37,2958,1245,1713,0.421,14,1,0,0
New Orleans Pelicans,NBA,2002-03,2025-26,24,1932,878,1054,0.454,9,1,0,0
New Orleans Pelicans,NBA,2013-14,2025-26,13,1046,459,587,0.439,4,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,0.47,0,0,0,0
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,0.474,5,1,0,0
New York Knicks,NBA/BAA,1946-47,2025-26,80,6269,3078,3191,0.491,47,8,4,2
Oklahoma City Thunder,NBA,1967-68,2025-26,59,4770,2602,2168,0.545,35,13,5,2
Oklahoma City Thunder,NBA,2008-09,2025-26,18,1440,857,583,0.595,13,7,2,1
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,0.524,22,6,3,1
Orlando Magic,NBA,1989-90,2025-26,37,2967,1401,1566,0.472,19,8,2,0
Philadelphia 76ers,NBA,1949-50,2025-26,77,6105,3170,2935,0.519,55,12,5,3
Philadelphia 76ers,NBA,1963-64,2025-26,63,5092,2594,2498,0.509,41,9,5,2
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,0.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2025-26,58,4689,2510,2179,0.535,34,8,3,0
Portland Trail Blazers,NBA,1970-71,2025-26,56,4526,2370,2156,0.524,38,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2025-26,78,6169,2810,3359,0.456,30,6,0,1
Sacramento Kings,NBA,1985-86,2025-26,41,3294,1404,1890,0.426,11,3,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,0.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,0.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,0.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,0.576,7,2,0,1
