Team_Name,City,From,To,W,L,Win_Percentage,Years_In_Playoffs,Championships,Championships_Conference,Championships_Division
Cardinals,Arizona,1920,2026,596,826,0.419,11,0,1,8
Falcons,Atlanta,1966,2026,406,521,0.438,14,0,2,7
Ravens,Baltimore,1996,2026,276,208,0.57,16,2,2,8
Bills,Buffalo,1960,2026,498,510,0.494,25,0,4,16
Panthers,Carolina,1995,2026,227,273,0.454,9,0,2,7
Bears,Chicago,1920,2026,809,652,0.554,28,1,2,25
Bengals,Cincinnati,1968,2026,409,490,0.455,16,0,3,12
Browns,Cleveland,1946,2026,567,560,0.503,30,0,0,23
Cowboys,Dallas,1960,2026,576,432,0.571,36,5,8,26
Broncos,Denver,1960,2026,532,475,0.528,24,3,8,16
Lions,Detroit,1930,2026,615,717,0.462,19,0,0,10
Packers,Green Bay,1921,2026,819,611,0.572,38,4,5,31
Texans,Houston,2002,2026,174,214,0.449,9,0,0,8
Colts,Indianapolis,1953,2026,572,519,0.524,29,2,4,21
Jaguars,Jacksonville,1995,2026,215,286,0.429,9,0,0,5
Chiefs,Kansas City,1960,2026,553,452,0.55,27,4,7,18
Raiders,Las Vegas,1960,2026,512,494,0.509,23,3,5,16
Chargers,Los Angeles,1960,2026,505,501,0.502,22,0,1,15
Rams,Los Angeles,1937,2026,636,611,0.51,34,2,5,22
Dolphins,Miami,1966,2026,511,418,0.55,25,2,5,14
Vikings,Minnesota,1961,2026,546,446,0.55,32,0,4,21
Patriots,New England,1960,2026,559,449,0.555,29,6,12,23
Saints,New Orleans,1967,2026,423,491,0.463,14,1,1,9
Giants,New York,1925,2026,728,676,0.518,33,4,5,25
Jets,New York,1960,2026,436,573,0.432,14,1,1,4
Eagles,Philadelphia,1933,2026,649,645,0.502,32,2,5,18
Steelers,Pittsburgh,1933,2026,691,592,0.538,36,6,8,26
49ers,San Francisco,1946,2026,642,531,0.547,31,5,8,23
Seahawks,Seattle,1976,2026,416,376,0.525,21,2,4,12
Buccaneers,Tampa Bay,1976,2026,326,466,0.412,15,2,2,10
Titans,Tennessee,1960,2026,482,529,0.477,25,0,1,11
Commanders,Washington,1932,2026,646,660,0.495,26,3,5,16
